citation_key_lr,citation_key_cp,citation_sentence,predecessor,successor,textual,separate,sentence_popularity,context_popularity,sentence_density,context_density,position_in_sentence,sentence_neg,sentence_neu,sentence_pos,sentence_compound,context_neg,context_neu,context_pos,context_compound,comp_sup,prp,pos_pattern,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,position_in_document,heading_title,heading_category,ref_in_figure_description,ref_in_table_description,ref_in_heading
Brynjolfsson1993,Hadaya2012,"Researchers have adopted various theoretical, conc...",It is an important stream of research that deals w...,IT valuation research has now accumulated a critic...,True,False,2,4,0.333333333333333,0.2,0.931174089068826,0,1,0,0,0.026,0.898,0.076,0.5106,False,False,NNS VBP VBN JJ JJ JJ JJ CC JJ NNS TO VB DT NN IN NNS IN NN CC NNS VBN IN NNS IN JJ JJ NN NNP,False,True,True,False,False,False,0.009,Introduction,introduction,False,False,False
Brynjolfsson1993,Pare2008,"To solve these methodological issues, researchers ...",Among the most salient are a reliance on cross-sec...,CITATION asserted that the lack of consistent find...,True,False,5,10,0.166666666666667,0.090909090909091,0.595166163141994,0,0.952,0.048,0.2023,0.021,0.924,0.056,0.4391,False,False,TO VB DT JJ NNS NNS VBP VBN DT JJ NNS VBG NN IN JJ NN NNS NNP VBG JJ NN NNS NNP VBG JJ NNS IN DT NN JJ NNP CC VBG RBR JJ NNS NNP,False,True,True,False,False,False,0.035,Introduction,introduction,False,False,False
Brynjolfsson1993,Sircar2000,These are studies representing what we have termed...,"The objective of the research presented here, howe...",We have attempted to extend their work to yield a ...,False,False,3,3,0.25,0.25,0.924444444444444,0,1,0,0,0,0.947,0.053,0.6124,False,True,DT VBP NNS VBG WP PRP VBP VBN DT `` NN '' NNP NN IN NNP CC NNP NNP CC DT VBG DT NN CC NN NN NN IN NNP CC NNP NNP,False,True,True,False,False,False,0.076,,introduction,False,False,False
Brynjolfsson1993,Im2001,Recent evidence indicates that IT has been a very ...,Many attempts have been made to answer this questi...,"Despite these findings, the results of other empir...",True,False,2,5,0.333333333333333,0.285714285714286,0.918181818181818,0,0.861,0.139,0.2716,0,0.958,0.042,0.2716,False,False,JJ NN VBZ IN NNP VBZ VBN DT RB JJ NN TO NN UH NNP,False,True,True,False,False,False,0.004,Introduction,introduction,False,False,False
Brynjolfsson1993,Wei2011,Such a focus on outcomes has also been done by stu...,Examples of digital outcome divide include differe...,The extended three-level digital divide framework ...,False,False,2,3,0.333333333333333,0.25,0.946236559139785,0.049,0.951,0,-0.1027,0.028,0.972,0,-0.1027,False,False,JJ DT NN IN NNS VBZ RB VBN VBN IN NNS VBG NN NN UH NNP CD NNP NN IN NNS NN NNP CC NNP NN NN JJ NNP,False,False,True,False,False,False,0.095,A Digital Divide Framework,theory_frontend,False,False,False
Brynjolfsson1993,Pinsonneault1998,"On the other hand, IT spending has also been linke...","Yet, many authors claim that the benefits of IT ar...",This paper addresses the productivity paradox by t...,True,False,2,10,0.333333333333333,0.090909090909091,0.845454545454545,0,0.622,0.378,0.743,0.122,0.669,0.209,0.765,False,False,IN DT JJ NN NNP NN VBZ RB VBN VBN TO JJ NN NNS NNP,False,False,True,False,False,False,0.054,Introduction,introduction,False,False,False
Brynjolfsson1993,Petter2013,"For example, time since implementation REFERENCECI...",Some research has focused on the role of project f...,Additional research could explore these project fa...,False,False,3,3,0.4,0.4,0.220338983050847,0,0.861,0.139,0.5719,0,0.794,0.206,0.9485,False,False,IN NN NN IN NN NNP CC NN IN DT NNP NNP VBP RB VBN IN NN NNS RB IN NNS IN NNP NN,False,False,True,False,False,False,0.755,Future Research Road Map,implications,False,False,False
Brynjolfsson1993,Ravichandran2009,"first, past research has found that both IT invest...",We conducted several tests to check whether the re...,"hence, we used one year lagged ROa (the next year ...",False,True,2,2,0.333333333333333,0.333333333333333,0.354430379746835,0.091,0.909,0,-0.296,0.1,0.864,0.036,-0.4939,False,False,RB JJ NN VBZ VBN IN DT NNP NNS REFERENCE CC JJ NNS JJ IN NN NNP VBP VBN NNS IN NN NN,False,True,True,False,False,False,0.663,Robustness check,results,False,False,False
Brynjolfsson1993,Palmer2000,"Yet, the evidence on how well they succeed is mixe...",Well-managed organizations generally try to improv...,"This apparent ""productivity paradox"" has produced ...",True,False,9,9,0.181818181818182,0.181818181818182,0.447761194029851,0,0.629,0.371,0.6486,0.034,0.769,0.197,0.7783,False,False,RB DT NN IN WRB RB PRP VB VBZ JJ NNP,False,False,False,False,False,False,0.082,Theoretical Background,theory_frontend,False,False,False
Brynjolfsson1993,Melville2004,"Researchers have adopted diverse conceptual, theor...",IT business value scholars are motivated by a desi...,"Moreover, the literature includes contributions fr...",True,False,2,2,0.5,0.5,0.858695652173913,0,1,0,0,0,0.849,0.151,0.8807,False,False,NNS VBP VBN JJ JJ JJ CC JJ NNS CC VBN JJ JJ NNS IN JJ NNS IN NN NNP,False,True,True,False,False,False,0.049,IT Business Value Research: Definition Through Distillation,introduction,False,False,False
Brynjolfsson1996,Grover2006,"For instance, econometrics has been used to examin...",A growing number of studies has started to pay att...,Some scholars have resorted to the use of economic...,True,True,0,5,1,0.166666666666667,0.989795918367347,0,1,0,0,0.014,0.906,0.08,0.6808,False,False,IN NN NNS VBZ VBN VBN TO VB DT NN IN NNP CC NN REFERENCE,False,True,True,False,False,False,0.194,Figure 1. Foundational Fields Used in Culnan and Swanson's (1986) and Cheon et al.'s (1992),background,False,False,False
Brynjolfsson1996,Melville2004,"Researchers have adopted diverse conceptual, theor...",IT business value scholars are motivated by a desi...,"Moreover, the literature includes contributions fr...",True,False,3,3,0.25,0.25,0.907103825136612,0,1,0,0,0,0.849,0.151,0.8807,False,False,NNS VBP VBN JJ JJ JJ CC JJ NNS CC VBN JJ JJ NNS IN JJ NNS IN NN NNP,False,True,True,False,False,False,0.049,IT Business Value Research: Definition Through Distillation,introduction,False,False,False
Chan2000,Petter2012,Chief Information Officers (CIOs) identified the i...,In the quest to use information systems to support...,"Therefore, during this era, alignment between the ...",True,False,3,3,0.25,0.25,0.997084548104956,0,0.942,0.058,0.4019,0,0.844,0.156,0.9371,False,False,JJ NN NNP NNP VBD DT NN IN JJ NN IN CD IN PRP$ JJ NNS IN NN NNS IN PRP$ NNS NNP CC NNS VBD NNS TO VB NNS VB IN PRP$ NN NNS VBD VBN IN DT JJ NNS IN DT NN NNP,False,True,True,False,False,False,0.246,Strategic and Personal Computing Era (1980s -1990s),method,False,False,False
Chan2000,Caliendo2012,"Rather, selection bias probably poses a problem fo...",It is unlikely that the selection bias is unique t...,"Within organizations, this effect might arise in e...",True,False,1,1,0.5,0.5,0.922413793103448,0.2,0.683,0.117,-0.1779,0.098,0.859,0.043,-0.2732,False,False,RB NN NN RB VBZ DT NN IN DT NN IN JJ NNP CC NNP NN NN NNS NNP,False,False,False,False,False,False,0.868,Implications,implications,False,False,False
