citation_key_cp,title,total_references,total_citations,abstract
Abraham2011,From cacophony to harmony: A case study about the IS implementation process as an opportunity for organizational transformation at Sentara Healthcare,93,115,abstractThe cacophony of criticisms emanating from...
Andersen2001,"Information technology, strategic decision making approaches and organizational performance in different industrial settings",47,80,The present study considers potential performance ...
Ayal2009,An Empirical Investigation of the Value of Integrating Enterprise Information Systems: The Case of Medical Imaging Informatics,27,41,This paper identifies and measures the various bus...
Bakos1993,"Information Technology, Incentives, and the Optimal Number of Suppliers",26,58,3& BAKOS AND BRYNJOLFSSON theoretical models appea...
Banker2010,Evaluating Cross-organizational Impacts Of Information Technology--an Empirical Analysis,60,71,This paper documents information technology (IT) i...
Bannister2000,"Acts of Faith: Instinct, Value and IT Investment Decisions",78,117,"Although well over 1000 journal articles, conferen..."
Barua1995,Information Technologies and Business Value: An Analytic and Empirical Investigation,44,87,An important management question today is whether ...
Beynon-Davies2000,'It's lots of bits of paper and ticks and post-it notes and things...': a case study of a rapid application development project,41,41,This paper reports an in-depth case study of a rap...
Bharadwaj2000,A Resource-Based Perspective on Information Technology Capability and Firm Performance: An Empirical Investigation,124,172,The resource-based view of the firm attributes sup...
Brancheau1996,Key Issues in Information Systems Management: 1994-1995 SIM Delphi Results,10,18,"Over the past 15 years, the Society for Informatio..."
Brynjolfsson1996a,The Contribution of Information Technology to Consumer Welfare,43,68,"O ver the past two decades, American businesses ha..."
Chan2000,IT Value: The Great Divide Between Qualitative and Quantitative and Individual and Organizational Measures,149,76,A comprehensive review was conducted of IT value a...
Chang2003,Measuring the Performance of Information Systems: A Functional Scorecard,101,139,This study develops an instrument that may be used...
Chang2006,"Technical and Management Perceptions of Enterprise Information System Importance, Implementation and Benefits",82,119,This paper compares information systems (IS) integ...
Changchit1998,Process and reality in information systems benefit analysis,40,46,The identification of the potential benefits of a ...
Chau2007,Research on IT Value: What We Have Done in Asia and Europe,22,54,Introduction  With trillions of U.S. dollars spend...
Clemons1994,Special Section: Strategic and Competitive Information Systems,2,2,THIS FIFTH ANNUAL JAf/S SPECIAL SECTION on strateg...
Coltman2007a,E-Business Strategy and Firm Performance: A Latent Class Assessment of the Drivers and Impediments to Success,61,79,"Among many leading organizations, in all sectors o..."
Davamanirajan2006,"Systems Design, Process Performance, and Economic Outcomes in International Banking",72,113,Information technology (IT) value remains a seriou...
Dehning2003,Determinants of a sustainable competitive advantage due to an IT-enabled strategy,72,153,Information technology (IT) has been asserted to b...
Dehning2004,Reexamining the Value Relevance of E-commerce Initiatives,51,110,Jar technique for information systems research by ...
Demirhan2005,Information Technology Investment Strategies Under Declining Technology Cost,58,68,Investments in infonnation technology (IT) have be...
Devaraj2000,Information Technology Payoff in the Health-care Industry: A Longitudinal Study,74,96,He has worked on several projects for companies ex...
Dewan2000,Adoption of Internet-Based Product Customization and Pricing Strategies,23,21,Standard products but charges more for them than i...
Doherty2009,The Role of IS Capabilities in Delivering Sustainable Improvements to Competitive Positioning,60,117,Introduction  Over the past 30 years a great deal ...
DosSantos2012,Are New IT-Enabled Investment Opportunities Diminishing for Firms?,67,114,"hxc051200@utdallas.edu} T oday, few firms could su..."
Drnevich2013,Information Technology and Business-level Strategy: Toward an Integrated Theoretical Perspective,224,371,Information technology matters to business success...
Farbey1999,Moving IS evaluation forward: learning themes and research issues,57,102,"Value for IT money"" has been and is an issue. Ther..."
Fichman2004,Going Beyond the Dominant Paradigm for Information Technology Innovation Research: Emerging Concepts and Methods,94,157,Research on information technology (IT) innovation...
Francalanci1998,Information Technology and Worker Composition: Determinants of Productivity in the Life Insurance Industry,70,151,This paper investigates the impact of IT investmen...
Francalanci1998a,Aligning IT investments and workforce composition: the impact of diversification in life insurance companies,27,78,This paper investigates the impact on productivity...
Francalanci2008,IS Integration and Business Performance: The Mediation Effect of Organizational Absorptive Capacity in SMEs,105,183,A fundamental result of the information technology...
Frisk2014a,Design Matters for Decision Makers: Discovering IT Investment Alternatives,86,187,The literature has traditionally focused on how de...
Gable2008,Re-Conceptualizing Information System Success: The IS-Impact Measurement Model,104,208,"This paper re-conceptualizes ""information system s..."
Gannon2013,Outsiders: An Exploratory History of IS in Corporations,24,48,This paper is an exploratory study that provides a...
Gregor2006,The Transformational Dimension in the Realization of Business Value from Information Technology,37,74,Econometric studies have highlighted factors that ...
Gurbaxani2000,The Production of Information Services: A Firm-Level Analysis of Information Systems Budgets,33,40,P revious research has demonstrated that the produ...
Habjan2014,The Role of GPS-enabled Information in Transforming Operational Decision Making: An Exploratory Study,99,184,Although the impact of ICT-enabled information on ...
Hadaya2012,Joint Collaborative Planning As a Governance Mechanism to Strengthen the Chain of IT Value Co-creation,114,204,Introduction  The relationship between information...
Hedman2003,The business model concept: theoretical underpinnings and empirical illustrations,68,99,The business model concept is becoming increasingl...
Henderson1995,"Learning, Working, and Innovation: A Case Study in the Insurance Industry",40,83,significant attention from both researchers and pr...
Hitt1996,"Productivity, Business Profitability, and Consumer Surplus: Three Different Measures of Information Technology Value",48,90,The business value of information technology (IT) ...
Im2001,Research Report: A Reexamination of IT Investment and the Market Value of the Firm—An Event Study Methodology,47,145,E valuating the effectiveness of Information Techn...
Irani2001,"Information systems evaluation: past, present and future",37,35,considerable debate within the IS and business man...
Jones2001,Understanding IS evaluation as a complex social process: a case study of a UK local authority,56,129,The increasing concern from both IS practitioners ...
Jurison1996,Toward more effective management of information technology benefits,22,27,A critical issue facing senior executives is how t...
Karimi1996,Impact of Competitive Strategy and Information Technology Maturity on Firms' Strategic Response to Globalization,94,135,Recently the globalization of competition has caus...
Kim2011,"IT Capabilities, Process-Oriented Dynamic Capabilities, and Firm Financial Performance",80,166,Research ArticleMore and more publications are hig...
King2011,CIO: Concept Is Over,66,68,In the last 20 years the 1990 joke that CIO is sta...
Kohli2003,Measuring Information Technology Payoff: A Meta-Analysis of Structural Variables in Firm-Level Empirical Research,97,147,P ayoffs from information technology (IT) continue...
Krell2009,Competitive Advantage from Mandatory Investments: An Empirical Study of Australian Firms,96,192,abstractMandatory information system (IS) investme...
Kuegler2015,What's in IT for employees? Understanding the relationship between use and performance in enterprise social software,161,266,abstractDespite enterprise social software platfor...
Kwon2006,IT Valuation in Turbulent Times,89,152,This paper investigates performance impacts of two...
Lee1995,Critical Skills and Knowledge Requirements of IS Professionals: A Joint Academic/Industry Investigation,63,104,demic group of investigators. A series of focus gr...
Mahmood2000,Special Issue: Impacts of Information Technology Investment on Organizational Performance,16,12,THIS SPECIAL ISSUE ADDRESSES A SUBJECT OF MUCH DEB...
Melville2004,Review: Information Technology and Organizational Performance: An Integrative Model of IT Business Value,168,307,reveals that studies examining the association bet...
Merali2012,"Information Systems Strategy: Past, Present, Future?",343,281,abstractThe purpose of this paper is to contribute...
Mitra1996,Analyzing Cost-Effectiveness of Organizations: The Impact of Information Technology Spending,35,56,The performance impacts of infonnation technology ...
Mueller2010,Understanding the Economic Potential of Service-Oriented Architecture,96,206,Service-oriented architecture (SOA) is one of the ...
Mukhopadhyay1995,Business Value of Information Technology: A Study of Electronic Data Interchange,43,45,A great deal of controversy exists about the impac...
