citation_key_lr,title,SYN,TT,TB,RG,CRI,RA,citation_count,abstract
Brynjolfsson1993,The Productivity Paradox of Information Technology,True,False,True,True,True,False,,The relationship between information technology (I...
Brynjolfsson1996,Information Technology and Productivity: A Review of the Literature,True,False,False,True,True,False,,"In recent years, the relationship between informat..."
Chan2000,IT Value: The Great Divide Between Qualitative and Quantitative and Individual and Organizational Measures,True,False,False,True,False,False,377,A comprehensive review was conducted of IT value a...
Dedrick2003,Information Technology and Economic Performance: A Critical Review of the Empirical Evidence,True,False,True,True,True,True,,"For many years, there has been considerable debate..."
Dehning2002,Returns on Investments in Information Technology: A Research Synthesis,True,False,True,True,False,False,,Understanding the return on investments in informa...
DeLone1992,Information Systems Success: The Quest for the Dependent Variable,True,False,True,False,False,False,,A large number of studies have been conducted duri...
DeLone2003,The DeLone and McLean Model of Information Systems Success: A Ten-Year Update,True,True,True,True,False,False,7047,"Ten years ago, we presented the DeLone and McLean ..."
Hwang2000,Building a Knowledge Base for MIS Research: A Meta-Analysis of a Systems Success Model,True,True,True,False,False,False,39,This study was conducted to create a knowledge bas...
Irani2002,Developing a Frame of Reference for Ex-ante IT/IS Investment Evaluation,True,False,True,False,False,False,267,Investment appraisal techniques are an integral pa...
Kohli2003,Measuring Information Technology Payoff: A Meta-Analysis of Structural Variables in Firm-Level Empirical Research,True,True,False,False,False,False,598,Payoffs from information technology (IT) continue ...
Kohli2008,Business Value of IT: An Essay on Expanding Research Directions to Keep up with the Times,True,False,False,True,False,True,596,Much of the work on the business value of IT has e...
Larsen2003,A Taxonomy Of Antecedents Of Information Systems Success: Variable Analysis Studies,True,False,True,True,False,True,161,Research in the information systems (IS) field has...
Melville2004,Review: Information Technology and Organizational Performance: An Integrative Model of IT Business Value,True,False,True,True,False,True,2485,"Despite the importance to researchers, managers, a..."
Pare2008,Re-examining the Causal Structure of Information Technology Impact Research,True,False,False,False,False,False,45,
Petter2008,"Measuring Information Systems Success: Models, Dimensions, Measures, and Interrelationships",True,True,False,False,False,False,952,Since DeLone and McLean (D&M) developed their mode...
Petter2009,A Meta-Analytic Assessment of the DeLone and McLean IS Success Model: An Examination of IS Success at the Individual Level,True,True,False,False,False,False,350,"Fifteen years ago, DeLone and McLean published the..."
Piccoli2005,Review: IT- Dependent Strategic Initiatives and Sustained Competitive Advantage: A Review and Synthesis of the Literature,True,False,True,True,True,True,561,The role of information systems in the creation an...
Roberts2012,"Absorptive Capacity and Information Systems Research: Review, Synthesis, and Directions for Future Research",True,False,True,True,False,False,154,
Schryen2013,"Revisiting IS Business Value Research: What We Already Know, What We Still Need to Know, and How We Can Get There",True,False,True,True,True,True,92,
Seddon1999,Dimensions of Information Systems Success,True,False,True,False,True,False,,The value added by an organization’s IT assets is ...
Seddon2014,Implications for Strategic IS Research of the Resource-Based Theory of the Firm: A Reflection,True,False,False,True,False,False,10,
Sircar1998,The Impact of Information Technology Investments on Firm Performance: A Review of the Literature,True,False,False,False,True,False,,The perceived lack of benefits resulting from inve...
Soh1995,How IT Creates Business Value: A Process Theory Synthesis,True,False,True,False,False,False,,Mixed empirical results about the value oflT inves...
Wade2004,"Review: The Resource-based View and Information Systems Research: Review, Extension, and Suggestions for Future Research",True,False,False,True,False,True,1964,Information systems researchers have a long tradit...
