"citation_key","author","title","year","journal","volume","issue","pages"
"Abraham2011","Abraham, Chon and Junglas, Iris A.","From cacophony to harmony: A case study about the IS implementation process as an opportunity for organizational transformation at Sentara Healthcare",2011,"The Journal of Strategic Information Systems",20,2,"177-197"
"Akkeren2007","Akkeren, Jeanette Van and Rowlands, Bruce","An epidemic of pain in an Australian radiology practice",2007,"European Journal of Information Systems",16,6,"695-711"
"Aladwani2002","Aladwani, Adel M.","An Integrated Performance Model of Information Systems Projects",2002,"Journal of Management Information Systems",19,1,"185-210"
"Alavi2001","Alavi, Maryam and Leidner, Dorothy E.","Review: Knowledge Management and Knowledge Management Systems: Conceptual Foundations and Research Issues",2001,"MIS Quarterly",25,1,"107--136"
"Ali-Hassan2015","Ali-Hassan, Hossam and Nevo, Dorit and Wade, Michael R.","Linking dimensions of social media use to job performance: The role of social capital",2015,"The Journal of Strategic Information Systems",24,2,"65-89"
"Allen2005","Allen, Jonathan P. and Kim, Jeffrey","IT and the Video Game Industry: Tensions and Mutual Shaping",2005,"Journal of Information Technology",20,4,"234--244"
"Allen2013","Allen, David K. and Brown, Andrew and Karanasios, Stan and Norman, Alistair","How Should Technology-Mediated Organizational Change Be Explained? A Comparison of the Contributions of Critical Realism and Activity Theory",2013,"MIS Quarterly",37,3,"835--854"
"AlNatour2009a","Al-Natour, Sameh and Benbasat, Izak","The Adoption And Use Of IT Artifacts: A New Interaction-centric Model For The Study Of User-artifact Relationships",2009,"Journal of the Association for Information Systems",10,9,"661--685"
"Alter2008","Alter, Steven","Defining Information Systems As Work Systems: Implications for the IS Field",2008,"European Journal of Information Systems",17,5,"448--469"
"Alter2013","Alter, Steven","Work System Theory: Overview Of Core Concepts, Extensions, And Challenges For The Future",2013,"Journal of the Association for Information Systems",14,2,"72--121"
"Altinkemer2011","Altinkemer, Kemal and Ozcelik, Yasin and Ozdemir, Zafer D.","Productivity and Performance Effects of Business Process Reengineering: A Firm-Level Analysis",2011,"Journal of Management Information Systems",27,4,"129--162"
"Andersen2001","Andersen, Torben J.","Information technology, strategic decision making approaches and organizational performance in different industrial settings",2001,"The Journal of Strategic Information Systems",10,2,"101-119"
"Arbore2014","Arbore, Alessandro and Soscia, Isabella and Bagozzi, R. P.","The Role of Signaling Identity in the Adoption of Personal Technologies",2014,"Journal of the Association for Information Systems",15,2,"86--110"
"Armstrong1999","Armstrong, Curtis P. and Sambamurthy, Vallabh","Information Technology Assimilation in Firms: The Influence of Senior Leadership and IT Infrastructures",1999,"Information Systems Research",10,4,"304--327"
"Arnott2014","Arnott, David and Pervan, Graham","A Critical Analysis of Decision Support Systems Research Revisited: The Rise of Design Science",2014,"Journal of Information Technology",29,4,"269--293"
"Arvidsson2014","Arvidsson, Viktor and Holmström, Jonny and Lyytinen, Kalle","Information Systems Use As Strategy Practice: A Multi-Dimensional View of Strategic Information System Implementation and Use",2014,"The Journal of Strategic Information Systems",23,1,"45--61"
"Atasoy2016","Atasoy, Hilal and Banker, Rajiv D. and Pavlou, Paul A.","On the Longitudinal Effects of IT Use on Firm-Level Employment",2016,"Information Systems Research",27,1,"6-26"
"Au2008","Au, N. and Ngai, E. W. T. and Cheng, T. C. E.","Extending the Understanding of End User Information Systems Satisfaction Formation: An Equitable Needs Fulfillment Model Approach",2008,"MIS Quarterly",32,1,"43--66"
"Ayal2009","Ayal, Moshe and Seidman, Abraham","An Empirical Investigation of the Value of Integrating Enterprise Information Systems: The Case of Medical Imaging Informatics",2009,"Journal of Management Information Systems",26,2,"43--68"
"Ayyagari2011","Ayyagari, Ramakrishna and Grover, Varun and Purvis, Russell","Technostress: Technological Antecedents and Implications",2011,"MIS Quarterly",35,4,"831--858"
"Baars2009","Baars, Henning and Gille, Daniel and Strüker, Jens","Evaluation of RFID Applications for Logistics: A Framework for Identifying, Forecasting and Assessing Benefits",2009,"European Journal of Information Systems",18,6,"578--591"
"Baker2011","Baker, Jeff and Jones, Donald R. and Cao, Qing and Song, Jaeki","Conceptualizing the Dynamic Strategic Alignment Competency",2011,"Journal of the Association for Information Systems",12,4,"299--322"
"Bakos1993","Bakos, J. Yannis and Brynjolfsson, Erik","Information Technology, Incentives, and the Optimal Number of Suppliers",1993,"Journal of Management Information Systems",10,2,"37--53"
"Ballou1995","Ballou, Donald P. and Pazer, Harold L.","Designing Information Systems to Optimize the Accuracy-Timeliness Tradeoff",1995,"Information Systems Research",6,1,"51-72"
"Bandara2005","Bandara, Wasana and Gable, Guy G. and Rosemann, Michael","Factors and measures of business process modelling: model building through a multiple case study",2005,"European Journal of Information Systems",14,4,"347-360"
"Banker2006","Banker, Rajiv D. and Bardhan, Indranil R. and Chang, Hsihui and Lin, Shu","Plant Information Systems, Manufacturing Capabilities, and Plant Performance",2006,"MIS Quarterly",30,2,"315--337"
