citation_key_lr,BV,synthesis,theory_testing,theory_building,r_gaps,criticizing,r_agenda,title,gs_citations_2016_07,abstract
Abbas2014,False,subordinate,,dominant,,,,The Regulatory Considerations and Ethical Dilemmas of Location-based Services (LBS): A Literature Review,3,
Agarwal2010,False,subordinate,,subordinate,subordinate,,dominant,Research Commentary-the Digital Transformation Of Healthcare: Current Status And The Road Ahead,200,
Aguila2002,False,subordinate,,,dominant,,subordinate,Global Information Technology Management and Organizational Analysis: Research Issues,27,
Aguirre-Urreta2008,False,subordinate,,,subordinate,dominant,,Comparing Conceptual Modeling Techniques: A Critical Review of the EER Vs. OO Empirical Literature,25,
Ahuja2002,False,subordinate,,dominant,subordinate,,dominant,"Women in the Information Technology Profession: A Literature Review, Synthesis and Research Agenda",349,
Akhlaghpour2013,False,dominant,,,,,,"The Ongoing Quest For The IT Artifact: Looking Back, Moving Forward",14,
Aksulu2010,False,subordinate,,dominant,subordinate,,,A Comprehensive Review and Synthesis of Open Source Research,101,
Alaghehband2011,False,subordinate,dominant,,,,,An Assessment of the Use of Transaction Cost Theory in Information Technology Outsourcing,84,
Alavi2001,False,dominant,,dominant,dominant,,subordinate,Review: Knowledge Management and Knowledge Management Systems: Conceptual Foundations and Research Issues,9021,
Aloini2007,False,dominant,,,,,,Risk Management in ERP Project Introduction: Review of the Literature,387,
Alter2013,False,subordinate,,dominant,subordinate,,,"Work System Theory: Overview Of Core Concepts, Extensions, And Challenges For The Future",115,
Alter2014,False,subordinate,,dominant,,,,Theory of Workarounds,66,
Amrollahi2014,False,subordinate,,dominant,subordinate,,,Three Decades of Research on Strategic Information System Plan Development,4,
Arnott2012,False,subordinate,,,subordinate,dominant,,"Design Science In Decision Support Systems Research: An Assessment Using The Hevner, March, Park, And Ram Guidelines",33,
Avgerou2008,False,subordinate,,,,dominant,subordinate,Information Systems in Developing Countries: A Critical Research Review,393,
Ba2001,False,subordinate,,subordinate,dominant,,dominant,Research Commentary: Introducing A Third Dimension In Information Systems Design—the Case For Incentive Alignment,319,
Basten2014,False,dominant,,,subordinate,subordinate,,A Systematic Mapping of Factors Affecting Accuracy of Software Development Effort Estimation,6,
Basu2002,False,dominant,,,dominant,,,Research Commentary: Workflow Management Issues In E-business,209,
Beard2004,False,dominant,,,subordinate,,,Seeking Strategic Advantage in the Post-net Era: Viewing ERP Systems from the Resource-based Perspective,172,
Beaudry2006,False,dominant,,,subordinate,subordinate,,The Customer-Centered B2C Literature through the Lens of Activity Theory: A Review and Research Agenda,5,
Becker2004,False,dominant,,dominant,,,,Referenzmodellierung im Data-Warehousing—State-of-the-Art und konfigurative Ansätze für die Fachkonzeption,,
Belanger2011,False,dominant,,subordinate,subordinate,dominant,subordinate,Privacy in the Digital Age: A Review of Information Privacy Research in Information Systems,343,
Ben-Zion2014,False,dominant,,,,,,Critical Success Factors for Adoption of Electronic Health Record Systems: Literature Review and Prescriptive Analysis,5,
Berger2014,False,dominant,,,dominant,,,A Review of Information Systems Research on Online Social Networks,23,
Bergvall-Kareborn2014,False,subordinate,,,dominant,subordinate,subordinate,Disregarding History: Contemporary IS Contexts and Participatory Design,2,
Besson2012,False,subordinate,,,subordinate,,dominant,Strategizing Information Systems-enabled Organizational Transformation: A Transdisciplinary Review and New Directions,85,
Bose2011,False,subordinate,,dominant,subordinate,,subordinate,Integrative Framework for Assessing Firms’ Potential to Undertake Green IT Initiatives Via Virtualization –A Theoretical Perspective,177,
Briggs2008,False,subordinate,,dominant,subordinate,,,The Yield Shift Theory of Satisfaction and Its Application to the IS/IT Domain,86,
Brown2004,False,subordinate,dominant,subordinate,subordinate,,,Testing and Extending Theory in Strategic Information Systems Planning Through Literature Analysis,75,
Brown2005,False,dominant,,,,,,Framing the Frameworks: A Review of IT Governance Research,360,
Brynjolfsson1993,True,subordinate,,subordinate,subordinate,dominant,,The Productivity Paradox of Information Technology,,The relationship between information technology (I...
Brynjolfsson1996,True,dominant,,,subordinate,subordinate,,Information Technology and Productivity: A Review of the Literature,,"In recent years, the relationship between informat..."
Burton-Jones2012,False,subordinate,,dominant,subordinate,,,From Use to Effective Use: A Representation Theory Perspective,96,
Campbell2009,False,subordinate,,dominant,subordinate,,subordinate,Diagnosing and Managing Online Business-to-Consumer (B2C) Relationships: Toward an ECommerce B2C Relationship Stage Theory,9,
Carte2004,False,subordinate,,dominant,,,,A Capabilities-based Theory Of Technology Deployment In Diverse Teams: Leapfrogging The Pitfalls Of Diversity And Leveraging Its Potential With Collaborative Technology,113,
Carter2010,False,subordinate,,dominant,,,,IT Service Value Creation in a Global Environment,4,
Chan2000,True,dominant,,,subordinate,,,IT Value: The Great Divide Between Qualitative and Quantitative and Individual and Organizational Measures,377,A comprehensive review was conducted of IT value a...
Chan2007a,False,dominant,,,subordinate,,,IT Alignment: What Have We Learned?,784,
Chan2009,False,subordinate,,dominant,,,,Acceptance of Agile Methodologies: A Critical Review and Conceptual Framework,134,
Chang2005,False,subordinate,dominant,,subordinate,,,Literature Derived Reference Models for the Adoption of Online Shopping,425,
Chatfield2014,False,dominant,,,subordinate,,,Creating Value through Virtual Teams: A Current Literature Review,0,
Checchi2003,False,dominant,,,subordinate,subordinate,,Public IT Policies in Less Developed Countries: A Critical Assessment of the Literature and a Reference Framework,36,
Cheung2012,False,subordinate,,dominant,subordinate,,,The Impact of Electronic Word-of-Mouth Communication: A Literature Analysis and Integrative Model,239,
